epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,848.052,1.99862,2.62036,0.00476,0.43222,0.28984,0.23483,0.11161,1.58493,1.67362,0.0043,0.00599864,0.00199955,0.00599864,0.00199955,0.0860032,0.0820041,0.00599864,0.00199955
2,1571.04,1.94142,1.71793,0.0046,0.63356,0.29953,0.2632,0.12646,1.57898,1.61004,0.00438,0.0119963,0.00399876,0.0119963,0.00399876,0.0720008,0.0640033,0.0119963,0.00399876
3,2264.28,1.94244,1.69163,0.00466,0.63585,0.30646,0.26826,0.13044,1.58603,1.60826,0.00444,0.0179844,0.00599481,0.0179844,0.00599481,0.057989,0.0459993,0.0179844,0.00599481
4,2941.83,1.95488,1.69349,0.00469,0.45503,0.28874,0.25115,0.12099,1.5729,1.60248,0.00445,0.023956,0.00798535,0.023956,0.00798535,0.0439606,0.0279899,0.023956,0.00798535
5,3614.24,1.99353,1.76519,0.00484,0.47004,0.2927,0.24637,0.11718,1.60586,1.78396,0.00503,0.029904,0.00996801,0.029904,0.00996801,0.0299086,0.00997254,0.029904,0.00996801
6,4284.8,2.02877,1.82552,0.005,0.52621,0.30773,0.26233,0.12408,1.61954,1.60823,0.00474,0.0298523,0.00995075,0.0298523,0.00995075,0.0298523,0.00995075,0.0298523,0.00995075
7,4954.19,2.01016,1.73628,0.00492,0.62824,0.30569,0.26526,0.12616,1.58821,1.57113,0.00447,0.0297874,0.00992915,0.0297874,0.00992915,0.0297874,0.00992915,0.0297874,0.00992915
8,5623.63,1.99007,1.67966,0.00482,0.47787,0.30906,0.27511,0.13289,1.59223,1.55367,0.00501,0.029711,0.00990367,0.029711,0.00990367,0.029711,0.00990367,0.029711,0.00990367
9,6286.34,1.98035,1.6285,0.00481,0.64318,0.31169,0.28106,0.13484,1.59129,1.49882,0.00459,0.029623,0.00987433,0.029623,0.00987433,0.029623,0.00987433,0.029623,0.00987433
10,6952.75,1.97528,1.60565,0.00477,0.65378,0.3228,0.29277,0.14166,1.57354,1.46263,0.0044,0.0295235,0.00984117,0.0295235,0.00984117,0.0295235,0.00984117,0.0295235,0.00984117
11,7619.1,1.96587,1.59064,0.00481,0.66034,0.33459,0.30291,0.14848,1.57416,1.44618,0.00476,0.0294127,0.00980423,0.0294127,0.00980423,0.0294127,0.00980423,0.0294127,0.00980423
