epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,692.047,2.12642,2.32241,0.00788,0.32859,0.15995,0.12028,0.04952,1.79358,1.92742,0.0064,0.00333261,0.00333261,0.0700065
2,1365.79,2.01146,1.80333,0.00731,0.17121,0.20752,0.14575,0.06244,1.75231,2.01774,0.00615,0.00666432,0.00666432,0.0400049
3,2032.06,2.01377,1.79306,0.00737,0.29558,0.22701,0.15087,0.06458,1.77108,2.26329,0.00628,0.00998951,0.00998951,0.00999673
4,2703.51,2.02551,1.78172,0.00738,0.32758,0.24123,0.18538,0.08089,1.77749,1.78434,0.00639,0.00997803,0.00997803,0.00997803
5,3378.87,1.99154,1.72773,0.00725,0.27307,0.25223,0.18902,0.0818,1.77942,1.68237,0.0064,0.00996097,0.00996097,0.00996097
6,4055.96,1.97715,1.68586,0.00716,0.35054,0.2508,0.19477,0.08716,1.73834,1.75987,0.00626,0.00993906,0.00993906,0.00993906
7,4732.45,1.96103,1.65606,0.00711,0.34848,0.2719,0.20857,0.09418,1.71442,1.58392,0.00611,0.00991232,0.00991232,0.00991232
8,5407.68,1.94784,1.62728,0.00706,0.35442,0.27784,0.21611,0.09762,1.72058,1.5884,0.00607,0.00988079,0.00988079,0.00988079
9,6068.36,1.94476,1.61592,0.00703,0.32386,0.28653,0.23028,0.10661,1.69369,1.7109,0.00602,0.00984449,0.00984449,0.00984449
10,6730.54,1.93504,1.58978,0.00696,0.36783,0.29684,0.23478,0.10725,1.69455,1.57697,0.00603,0.00980345,0.00980345,0.00980345
11,7397.48,1.92147,1.58032,0.00693,0.3756,0.30764,0.2409,0.11105,1.69372,1.54228,0.00597,0.00975773,0.00975773,0.00975773
12,8068.18,1.92295,1.57338,0.00687,0.38638,0.30759,0.24113,0.11096,1.69512,1.53531,0.00593,0.00970736,0.00970736,0.00970736
13,8758.61,1.90856,1.56327,0.00684,0.38654,0.31438,0.251,0.11682,1.67296,1.53102,0.00587,0.00965239,0.00965239,0.00965239
14,9428.89,1.90499,1.55373,0.00686,0.40145,0.32053,0.25498,0.12011,1.67636,1.52396,0.00584,0.00959289,0.00959289,0.00959289
15,10114.9,1.90489,1.54008,0.00678,0.40228,0.32504,0.25708,0.12011,1.67428,1.52101,0.00588,0.00952889,0.00952889,0.00952889
16,10802.3,1.8999,1.53211,0.00681,0.40431,0.3335,0.26076,0.12316,1.66929,1.54137,0.00589,0.00946048,0.00946048,0.00946048
17,11502.4,1.9014,1.52842,0.00678,0.3073,0.3429,0.26875,0.12725,1.66393,1.48749,0.00587,0.00938772,0.00938772,0.00938772
18,12187.8,1.8962,1.52536,0.00681,0.41382,0.33714,0.27034,0.12846,1.65643,1.51216,0.00582,0.00931067,0.00931067,0.00931067
19,12857.1,1.88828,1.51533,0.00674,0.42043,0.33798,0.27289,0.13086,1.64578,1.49078,0.00577,0.00922942,0.00922942,0.00922942
20,13536.7,1.8851,1.50901,0.00675,0.42869,0.33663,0.27685,0.13235,1.65404,1.51416,0.00579,0.00914405,0.00914405,0.00914405
21,14220.2,1.88569,1.50829,0.0067,0.42973,0.33767,0.27892,0.13364,1.64209,1.49932,0.00572,0.00905463,0.00905463,0.00905463
22,14916.2,1.88626,1.49847,0.00672,0.43797,0.34285,0.28051,0.13467,1.63558,1.48564,0.00568,0.00896127,0.00896127,0.00896127
23,15582.7,1.88227,1.49426,0.00672,0.43781,0.34342,0.28073,0.13551,1.63617,1.47226,0.00567,0.00886404,0.00886404,0.00886404
24,16247.2,1.87778,1.492,0.00671,0.43863,0.34358,0.28105,0.13572,1.63672,1.47017,0.00567,0.00876305,0.00876305,0.00876305
25,16917.1,1.87448,1.48548,0.00666,0.44373,0.34543,0.28362,0.13676,1.63442,1.46426,0.00565,0.00865839,0.00865839,0.00865839
26,17590.8,1.87743,1.48857,0.00667,0.44585,0.34469,0.28411,0.13742,1.63693,1.45525,0.00564,0.00855018,0.00855018,0.00855018
27,18260.4,1.87021,1.4749,0.0066,0.44945,0.34489,0.28532,0.13807,1.63289,1.45516,0.00562,0.00843851,0.00843851,0.00843851
28,18935.7,1.86514,1.47106,0.00666,0.44787,0.34722,0.28539,0.13834,1.63152,1.4551,0.00561,0.00832349,0.00832349,0.00832349
29,19612.8,1.86823,1.46994,0.00663,0.44578,0.34861,0.28624,0.13882,1.6297,1.45453,0.00561,0.00820525,0.00820525,0.00820525
30,20303.9,1.86273,1.46528,0.00662,0.44766,0.34848,0.28685,0.13902,1.62982,1.45254,0.00562,0.00808389,0.00808389,0.00808389
31,20973.9,1.85957,1.46124,0.00658,0.44516,0.3493,0.28693,0.13925,1.62937,1.44902,0.00562,0.00795954,0.00795954,0.00795954
32,21642.6,1.85972,1.45553,0.00657,0.44803,0.34766,0.28716,0.1394,1.62928,1.44938,0.00562,0.00783231,0.00783231,0.00783231
33,22315.1,1.8584,1.45299,0.00655,0.45,0.34685,0.2883,0.14014,1.63111,1.44873,0.00561,0.00770234,0.00770234,0.00770234
34,22976.1,1.85129,1.44181,0.00655,0.45078,0.34811,0.28901,0.1407,1.63487,1.43866,0.00563,0.00756976,0.00756976,0.00756976
35,23638.1,1.85091,1.43945,0.00656,0.45029,0.34799,0.28963,0.14092,1.63522,1.43721,0.00564,0.00743468,0.00743468,0.00743468
36,24300.1,1.85336,1.43644,0.00654,0.45036,0.34776,0.29014,0.14128,1.635,1.43849,0.00563,0.00729725,0.00729725,0.00729725
37,24960.5,1.84865,1.43323,0.00651,0.44807,0.34965,0.29021,0.14132,1.63762,1.43815,0.00565,0.00715761,0.00715761,0.00715761
38,25623.6,1.84579,1.42694,0.00649,0.44845,0.35125,0.2906,0.14163,1.63834,1.44042,0.00563,0.00701588,0.00701588,0.00701588
39,26278.1,1.84552,1.43146,0.00651,0.4503,0.34894,0.29121,0.14212,1.63974,1.44046,0.00564,0.00687222,0.00687222,0.00687222
