epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,867.998,1.99862,2.62036,0.00476,0.43222,0.28984,0.23483,0.11161,1.58493,1.67362,0.0043,0.00599864,0.00199955,0.00599864,0.00199955,0.0860032,0.0820041,0.00599864,0.00199955
2,1585.43,1.94152,1.71833,0.0046,0.6295,0.30684,0.26543,0.12766,1.57024,1.62387,0.00408,0.011998,0.00399933,0.011998,0.00399933,0.0720025,0.0640039,0.011998,0.00399933
3,2276.51,1.94221,1.69587,0.00465,0.51233,0.30754,0.27587,0.13337,1.57975,1.58052,0.00458,0.0179946,0.00599821,0.0179946,0.00599821,0.0579992,0.0460027,0.0179946,0.00599821
4,2956.16,1.95589,1.68592,0.00469,0.47664,0.29817,0.25859,0.1241,1.59623,1.60865,0.00468,0.0239867,0.00799555,0.0239867,0.00799555,0.0439912,0.0280001,0.0239867,0.00799555
5,690.458,1.99145,1.76994,0.00486,0.61856,0.30371,0.2592,0.12243,1.62761,1.61854,0.00503,0.029972,0.00999067,0.029972,0.00999067,0.0299765,0.0099952,0.029972,0.00999067
6,1360.29,2.00676,1.79445,0.00493,0.62505,0.30899,0.26294,0.12449,1.6356,1.61016,0.00514,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613,0.0299584,0.00998613
7,2029.51,2.00234,1.73313,0.00493,0.4626,0.31027,0.26915,0.12859,1.60244,1.55517,0.00457,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003,0.0299401,0.00998003
8,2706,1.97998,1.66101,0.00483,0.6383,0.31273,0.27615,0.13183,1.58535,1.55864,0.00448,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282,0.0299185,0.00997282
9,3374.68,1.97653,1.63585,0.0048,0.49747,0.31633,0.2809,0.13706,1.57806,1.50909,0.00476,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452,0.0298935,0.00996452
10,5054.89,1.96773,1.61945,0.00479,0.65529,0.32696,0.2964,0.14331,1.56701,1.47732,0.00446,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511,0.0298653,0.00995511
11,679.406,1.94861,1.57186,0.00471,0.65699,0.32939,0.29852,0.14565,1.5722,1.43944,0.00478,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446,0.0298338,0.0099446
12,1352.64,1.93884,1.5556,0.00469,0.65535,0.33099,0.29887,0.14636,1.55657,1.44923,0.00438,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299,0.029799,0.00993299
13,2027.8,1.93837,1.53844,0.0047,0.49411,0.33755,0.30622,0.15088,1.54705,1.43843,0.00433,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029,0.0297609,0.00992029
14,2705.68,1.92336,1.49082,0.00461,0.51295,0.34395,0.30554,0.15135,1.54246,1.43687,0.00433,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065,0.0297195,0.0099065
15,3380.67,1.92225,1.50053,0.0046,0.50192,0.34663,0.3151,0.15726,1.52896,1.40025,0.00458,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163,0.0296749,0.00989163
16,4053.92,1.92147,1.47796,0.00462,0.67708,0.339,0.31626,0.15725,1.52886,1.37172,0.00414,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566,0.029627,0.00987566
17,4725.47,1.9259,1.49869,0.00462,0.67194,0.34098,0.31503,0.15763,1.51655,1.37549,0.00427,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862,0.0295759,0.00985862
18,5396.67,1.92454,1.49392,0.0046,0.68093,0.3429,0.32356,0.16304,1.52968,1.3621,0.00421,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051,0.0295215,0.00984051
19,6062.09,1.91594,1.46828,0.00456,0.67467,0.34658,0.32203,0.16184,1.52602,1.38553,0.0042,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132,0.029464,0.00982132
20,6732.33,1.91794,1.4639,0.00455,0.68226,0.34489,0.3267,0.16365,1.52497,1.37173,0.00421,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107
21,7412.27,1.91796,1.46721,0.00462,0.50664,0.35122,0.32584,0.16437,1.52605,1.35401,0.00437,0.0293393,0.00977975,0.0293393,0.00977975,0.0293393,0.00977975,0.0293393,0.00977975
22,8084.19,1.9043,1.45285,0.00449,0.58783,0.35573,0.32663,0.16458,1.5118,1.35406,0.00414,0.0292722,0.00975738,0.0292722,0.00975738,0.0292722,0.00975738,0.0292722,0.00975738
23,8753.71,1.91008,1.45426,0.00454,0.53798,0.35281,0.32866,0.16687,1.51409,1.3617,0.00424,0.0292019,0.00973396,0.0292019,0.00973396,0.0292019,0.00973396,0.0292019,0.00973396
24,9423.7,1.9066,1.4467,0.0045,0.54128,0.35132,0.33005,0.16688,1.51067,1.35284,0.00418,0.0291285,0.0097095,0.0291285,0.0097095,0.0291285,0.0097095,0.0291285,0.0097095
25,10091.9,1.89977,1.42063,0.00447,0.52105,0.3499,0.33013,0.16755,1.50732,1.34448,0.00424,0.029052,0.00968399,0.029052,0.00968399,0.029052,0.00968399,0.029052,0.00968399
26,10766.4,1.89433,1.44038,0.00455,0.68983,0.34858,0.32848,0.16678,1.50327,1.34487,0.00413,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746
27,11432.6,1.89871,1.42883,0.00454,0.54458,0.35427,0.3353,0.17061,1.51125,1.3262,0.00406,0.0288897,0.0096299,0.0288897,0.0096299,0.0288897,0.0096299,0.0288897,0.0096299
28,12100.7,1.89453,1.41803,0.00448,0.50953,0.36107,0.33109,0.16879,1.51922,1.33822,0.00436,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131
29,12770.7,1.8945,1.41881,0.00451,0.59482,0.3565,0.33174,0.16901,1.51,1.33444,0.00426,0.0287152,0.00957172,0.0287152,0.00957172,0.0287152,0.00957172,0.0287152,0.00957172
30,13441.6,1.88657,1.40159,0.00447,0.5293,0.36515,0.33373,0.17042,1.50443,1.33816,0.00431,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112
31,14109.1,1.88859,1.40913,0.00453,0.53764,0.36865,0.33472,0.17121,1.5,1.3421,0.00418,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953
32,14779.3,1.89436,1.3988,0.0045,0.55064,0.36549,0.33844,0.17343,1.50355,1.31701,0.00419,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695
33,15446.4,1.87554,1.38448,0.00448,0.56388,0.36045,0.33844,0.17394,1.50298,1.31768,0.00423,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338
