epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,882.729,1.98724,2.37112,0.00459,0.42691,0.30412,0.25525,0.11958,1.739,1.56535,0.0039,0.00599864,0.00199955,0.00599864,0.00199955,0.0860032,0.0820041,0.00599864,0.00199955
2,1622.72,1.93772,1.64886,0.00443,0.44951,0.32084,0.27764,0.12812,1.73921,1.51135,0.00402,0.0119957,0.00399857,0.0119957,0.00399857,0.0720002,0.0640031,0.0119957,0.00399857
3,2335.72,1.93934,1.6242,0.00447,0.35982,0.30177,0.28167,0.13138,1.72569,1.5661,0.00407,0.0179811,0.00599369,0.0179811,0.00599369,0.0579856,0.0459982,0.0179811,0.00599369
4,3032.65,1.95456,1.67432,0.00455,0.43848,0.32941,0.27643,0.12798,1.76315,1.50236,0.00439,0.0239459,0.00798197,0.0239459,0.00798197,0.0439504,0.0279865,0.0239459,0.00798197
5,3725.83,1.9938,1.72043,0.00473,0.4122,0.28439,0.25134,0.11312,1.78155,1.53153,0.00446,0.0298816,0.00996052,0.0298816,0.00996052,0.0298861,0.00996504,0.0298816,0.00996052
6,4415.12,2.01161,1.74879,0.0048,0.38835,0.32426,0.25836,0.11891,1.78331,1.55179,0.00443,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,5120.16,1.99914,1.65483,0.0047,0.31325,0.3217,0.2734,0.12438,1.7521,1.47644,0.00414,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,5814.25,1.97674,1.61519,0.00464,0.38517,0.35903,0.30156,0.14296,1.7271,1.45012,0.00406,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,6506.07,1.96828,1.58028,0.0046,0.3227,0.33764,0.2915,0.13518,1.71465,1.40421,0.00407,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,7203.04,1.95381,1.54866,0.00459,0.44725,0.36493,0.30931,0.14657,1.70775,1.4509,0.00399,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,7896.16,1.94108,1.52472,0.00451,0.41477,0.37797,0.33056,0.15855,1.70695,1.40042,0.00413,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,8592.27,1.9444,1.50316,0.0045,0.44487,0.35023,0.31367,0.1523,1.68933,1.3662,0.00405,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,9278.69,1.93115,1.48717,0.0045,0.38816,0.39793,0.33921,0.16484,1.70228,1.34535,0.00399,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,9974.93,1.92418,1.46567,0.00445,0.37127,0.40889,0.33797,0.16205,1.69655,1.35864,0.00391,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,10663.3,1.91721,1.45297,0.0044,0.40558,0.38726,0.34995,0.16919,1.67837,1.33058,0.00403,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,11354.9,1.91405,1.45296,0.00443,0.42518,0.38865,0.35173,0.17258,1.69047,1.35623,0.00413,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,12045.4,1.91557,1.4353,0.00443,0.44868,0.39591,0.36118,0.1759,1.6697,1.31652,0.00404,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,12738.8,1.90608,1.43655,0.00442,0.43659,0.39868,0.36846,0.18032,1.67748,1.34112,0.00391,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,13426.7,1.90536,1.41386,0.00438,0.47308,0.40672,0.37374,0.18529,1.6705,1.31357,0.00406,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,14115.5,1.89461,1.40576,0.00435,0.45125,0.42,0.38162,0.19084,1.66871,1.31696,0.00411,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,14808.2,1.89934,1.39878,0.00434,0.45671,0.40175,0.38043,0.19018,1.66264,1.27984,0.00411,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,15496.7,1.8793,1.38404,0.00433,0.46111,0.40957,0.39177,0.19941,1.64588,1.29367,0.00378,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,16185.7,1.88018,1.37655,0.0043,0.54692,0.39549,0.37775,0.18607,1.65143,1.28864,0.0039,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,16908.5,1.88273,1.38028,0.00434,0.49122,0.42334,0.40874,0.2049,1.64745,1.28165,0.00376,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,17611.7,1.87585,1.35833,0.00432,0.54634,0.40396,0.3898,0.19344,1.64774,1.29469,0.00377,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
