epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1025.49,1.93352,3.41566,0.00404,0.39912,0.25484,0.22932,0.11834,1.79997,2.09428,0.0046,0.005999,0.00199967,0.005999,0.00199967,0.0860023,0.082003,0.005999,0.00199967
2,1914.74,1.90449,1.89609,0.00396,0.5049,0.28806,0.25791,0.13335,1.81046,1.95545,0.00477,0.0119961,0.00399869,0.0119961,0.00399869,0.0719994,0.064002,0.0119961,0.00399869
3,2788.03,1.90898,1.89627,0.00404,0.48388,0.26229,0.25295,0.12891,1.80013,1.99499,0.00473,0.0179814,0.00599381,0.0179814,0.00599381,0.0579848,0.0459972,0.0179814,0.00599381
4,3644.96,1.9371,1.96842,0.00414,0.50004,0.2291,0.20775,0.10119,1.83158,2.08175,0.00503,0.0239463,0.00798209,0.0239463,0.00798209,0.0439496,0.0279854,0.0239463,0.00798209
5,4487.38,2.00095,2.14046,0.00432,0.47158,0.23265,0.20117,0.09558,1.88207,2.20243,0.00492,0.0298819,0.00996063,0.0298819,0.00996063,0.0298852,0.00996398,0.0298819,0.00996063
6,5327.43,2.01937,2.14947,0.00442,0.48056,0.2284,0.21008,0.09975,1.86213,2.06085,0.00489,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,6165.96,2.00169,2.03534,0.00435,0.56163,0.2324,0.2268,0.10775,1.85227,2.05389,0.00499,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,7012.88,1.97916,2.00975,0.00433,0.54599,0.23508,0.23118,0.1101,1.86442,2.03392,0.00502,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,7846.25,1.96651,1.91274,0.00434,0.42265,0.27019,0.23225,0.11118,1.83879,1.98498,0.00499,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,8683.54,1.94789,1.88534,0.0042,0.48654,0.26154,0.24762,0.12126,1.80705,1.9576,0.00486,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,9515.59,1.93111,1.84968,0.00424,0.48674,0.28768,0.27044,0.13464,1.79518,1.91737,0.00484,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,10354.3,1.93827,1.82441,0.00416,0.41991,0.31223,0.26337,0.12883,1.79542,1.8581,0.00482,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,11189.3,1.92719,1.7847,0.00412,0.41627,0.30374,0.2705,0.13563,1.78533,1.87089,0.00472,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,12027,1.90597,1.7527,0.00406,0.50442,0.29337,0.28204,0.14422,1.7657,1.79013,0.00466,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,12861.6,1.9042,1.72207,0.00407,0.45501,0.33498,0.30697,0.15304,1.78135,1.75841,0.00473,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,13694,1.89896,1.70609,0.00404,0.54709,0.32025,0.30847,0.15669,1.77327,1.72054,0.00463,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,14530.6,1.88339,1.70193,0.00402,0.48332,0.32745,0.30586,0.15984,1.75123,1.75449,0.00458,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,15364.3,1.88308,1.67069,0.00399,0.52372,0.3365,0.31419,0.16094,1.74196,1.76602,0.00462,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,16194.4,1.88546,1.66034,0.00403,0.52273,0.30639,0.31387,0.15727,1.72878,1.72417,0.00457,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,17031.4,1.87602,1.6407,0.00397,0.53163,0.34756,0.32912,0.16885,1.72123,1.7089,0.00451,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,17865.1,1.8852,1.62685,0.00395,0.55439,0.3478,0.33636,0.17062,1.70547,1.68773,0.00446,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,18693,1.86802,1.61215,0.00398,0.54435,0.34581,0.33103,0.17107,1.72137,1.71062,0.00447,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,19525,1.86777,1.59764,0.00391,0.55742,0.33786,0.33458,0.17496,1.71063,1.65042,0.00439,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,20360.7,1.85791,1.58964,0.00387,0.49097,0.35572,0.3375,0.17524,1.69679,1.65904,0.00441,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,21199.4,1.85567,1.56332,0.00389,0.54338,0.34821,0.3449,0.18126,1.71145,1.64344,0.00445,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,22034,1.84319,1.56102,0.00391,0.54468,0.37417,0.36214,0.18634,1.70002,1.65682,0.00446,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
